payment_id,payment_code,order_id,payment_date,payment_method,payment_status,transaction_amount,transaction_reference
1,PAY000001,1,2023-10-20,Net Banking,Refunded,74694.24,TXN100001
2,PAY000002,2,2023-10-15,Cash,Refunded,68844.91,TXN100002
3,PAY000003,3,2024-01-01,Net Banking,Refunded,72755.79,TXN100003
4,PAY000004,4,2023-11-11,UPI,Pending,79158.54,TXN100004
5,PAY000005,5,2024-09-08,Credit Card,Pending,36126.23,TXN100005
6,PAY000006,6,2023-07-29,Net Banking,Pending,62607.35,TXN100006
7,PAY000007,7,2025-02-12,Net Banking,Refunded,42829.93,TXN100007
8,PAY000008,8,2023-03-11,Credit Card,Completed,80707.36,TXN100008
9,PAY000009,9,2024-04-01,Debit Card,Pending,33117.51,TXN100009
10,PAY000010,10,2024-01-19,Credit Card,Completed,71720.59,TXN100010
11,PAY000011,11,2024-10-17,Cash,Pending,34405.05,TXN100011
12,PAY000012,12,2025-05-25,UPI,Refunded,60017.24,TXN100012
13,PAY000013,13,2025-06-14,Debit Card,Completed,39381.34,TXN100013
14,PAY000014,14,2025-04-06,Net Banking,Refunded,86582.35,TXN100014
15,PAY000015,15,2024-10-19,Debit Card,Refunded,64289.41,TXN100015
16,PAY000016,16,2023-03-14,Credit Card,Refunded,4030.42,TXN100016
17,PAY000017,17,2023-06-26,Cash,Refunded,16345.61,TXN100017
18,PAY000018,18,2024-01-01,Net Banking,Pending,81069.29,TXN100018
19,PAY000019,19,2025-03-18,Credit Card,Pending,54162.55,TXN100019
20,PAY000020,20,2024-10-11,Debit Card,Pending,72160.29,TXN100020
21,PAY000021,21,2023-06-09,Debit Card,Refunded,60093.77,TXN100021
22,PAY000022,22,2023-05-19,UPI,Completed,22622.66,TXN100022
23,PAY000023,23,2024-03-04,Cash,Pending,42682.25,TXN100023
24,PAY000024,24,2023-06-10,UPI,Pending,24188.57,TXN100024
25,PAY000025,25,2023-02-18,Net Banking,Completed,74479.87,TXN100025
26,PAY000026,26,2023-02-04,Cash,Pending,66756.71,TXN100026
27,PAY000027,27,2025-01-07,Credit Card,Refunded,84621.97,TXN100027
28,PAY000028,28,2023-12-22,Net Banking,Pending,707.34,TXN100028
29,PAY000029,29,2024-06-16,Debit Card,Pending,45315.1,TXN100029
30,PAY000030,30,2023-09-28,UPI,Pending,59654.85,TXN100030
31,PAY000031,31,2024-08-06,Net Banking,Refunded,26847.56,TXN100031
32,PAY000032,32,2025-03-19,Credit Card,Pending,46189.47,TXN100032
33,PAY000033,33,2023-05-03,Net Banking,Completed,13580.3,TXN100033
34,PAY000034,34,2025-03-22,Cash,Completed,54621.88,TXN100034
35,PAY000035,35,2023-08-28,Debit Card,Completed,76220.8,TXN100035
36,PAY000036,36,2025-04-26,Debit Card,Completed,28211.17,TXN100036
37,PAY000037,37,2023-06-19,Cash,Pending,66155.48,TXN100037
38,PAY000038,38,2024-06-02,Credit Card,Refunded,80853.59,TXN100038
39,PAY000039,39,2024-02-12,UPI,Refunded,23905.34,TXN100039
40,PAY000040,40,2024-06-26,Credit Card,Pending,66105.77,TXN100040
41,PAY000041,41,2023-03-07,UPI,Refunded,9292.5,TXN100041
42,PAY000042,42,2024-06-26,Debit Card,Pending,20469.47,TXN100042
43,PAY000043,43,2023-02-15,Debit Card,Pending,67203.51,TXN100043
44,PAY000044,44,2024-10-06,Debit Card,Completed,55993.89,TXN100044
45,PAY000045,45,2024-02-24,Debit Card,Pending,57188.38,TXN100045
46,PAY000046,46,2025-01-11,Debit Card,Completed,64231.4,TXN100046
47,PAY000047,47,2023-09-11,Cash,Refunded,19216.38,TXN100047
48,PAY000048,48,2025-06-24,Net Banking,Completed,20666.38,TXN100048
49,PAY000049,49,2024-11-16,UPI,Completed,5691.48,TXN100049
50,PAY000050,50,2024-10-26,Debit Card,Refunded,60051.84,TXN100050
51,PAY000051,51,2025-02-14,Credit Card,Completed,81122.24,TXN100051
52,PAY000052,52,2024-02-29,UPI,Pending,23963.77,TXN100052
53,PAY000053,53,2025-04-26,Credit Card,Refunded,47176.28,TXN100053
54,PAY000054,54,2023-10-02,Net Banking,Completed,40441.99,TXN100054
55,PAY000055,55,2023-03-29,Cash,Refunded,48540.55,TXN100055
56,PAY000056,56,2025-01-19,Credit Card,Completed,44458.27,TXN100056
57,PAY000057,57,2025-02-17,UPI,Completed,68769.41,TXN100057
58,PAY000058,58,2024-09-09,Credit Card,Refunded,17738.42,TXN100058
59,PAY000059,59,2023-10-26,Credit Card,Pending,11763.97,TXN100059
60,PAY000060,60,2023-09-10,Debit Card,Completed,19430.32,TXN100060
61,PAY000061,61,2024-05-04,UPI,Refunded,45553.42,TXN100061
62,PAY000062,62,2024-11-16,Debit Card,Pending,73700.98,TXN100062
63,PAY000063,63,2023-01-15,Cash,Refunded,34600.14,TXN100063
64,PAY000064,64,2023-07-25,Credit Card,Refunded,43986.44,TXN100064
65,PAY000065,65,2023-04-26,Cash,Refunded,53459.88,TXN100065
66,PAY000066,66,2024-01-27,Cash,Pending,59648.66,TXN100066
67,PAY000067,67,2024-03-03,Credit Card,Completed,68406.38,TXN100067
68,PAY000068,68,2024-05-11,UPI,Completed,25839.38,TXN100068
69,PAY000069,69,2025-06-13,Cash,Completed,2899.17,TXN100069
70,PAY000070,70,2024-04-08,Debit Card,Refunded,31959.44,TXN100070
71,PAY000071,71,2023-10-23,Credit Card,Refunded,29884.14,TXN100071
72,PAY000072,72,2024-10-08,Net Banking,Completed,32694.11,TXN100072
73,PAY000073,73,2023-06-11,Net Banking,Pending,84470.3,TXN100073
